id,country_id,name,budget,flight_time,timezone,climate,risk_level,description,image_url
1,1,"ロサンゼルス",45,約9～10時間,約-16時間（夏）～-17時間（標準),冬温暖・夏乾燥、晴天多い,特になし。全土で危険情報なし。,映画産業の中心地ハリウッド／ビーチや多文化体験が楽しめる都市。,/images/region/001.jpg
2,1,ラスベガス,45,約10～11時間,約-16～17時間,夏非常に暑く乾燥、冬寒暖差あり,特になし。全土で危険情報なし。,エンターテインメント街・カジノの街。豪華ホテルやショーが多数。,/images/region/002.jpg
3,1,アリゾナ州,45,約11～12時間,約-16時間,一年を通じて乾燥、夏は猛暑,特になし。全土で危険情報なし。,自然景観が豊富な内陸州。砂漠、渓谷（グランドキャニオン）などアウトドアが充実。,/images/region/003.jpg
4,1,ニューヨーク,50,約12～13時間,約-13時間（夏）約-14時間（標準）,四季が明確、冬寒く雪も降る,特になし。全土で危険情報なし。,世界の金融・文化の中心。摩天楼・ブロードウェイ・多彩な街歩きが魅力。,/images/region/004.jpg
5,1,ワシントンD.C.,50,約13～14時間,約-13時間（夏）約-14時間（標準）,夏は蒸し暑く、冬寒い,特になし。全土で危険情報なし。,米国の首都。博物館・記念碑・政治の中心として歴史観光に優れる。,/images/region/005.jpg
6,1,フロリダ,50,約14～15時間（乗継）,約-13時間（夏）約-14時間（標準）,一年中温暖、多湿でスコール多い,特になし。全土で危険情報なし。,海・リゾート・テーマパーク（ディズニーワールド）があるリゾート地帯。,/images/region/006.jpg
7,1,ハワイ,45,約7～8時間,約-19時間（夏）約-20時間（標準）,年中温暖、湿度高め・雨季11〜3月,特になし。全土で危険情報なし。,パン・パシフィックの定番リゾート。ビーチ、自然、ハワイ文化が体験できる。,/images/region/007.jpg
8,2,ローマ,50,約13時間,約-7時間（夏）約-8時間（標準）,夏乾燥・冬穏やか,特になし。全土で危険情報なし。,古代ローマ遺跡（コロッセオ等）とバチカンを抱える歴史都市。,/images/region/008.jpg
9,2,バチカン,50,約13時間（ローマ経由）,約-7時間（夏）約-8時間（標準）,ローマと同様,特になし。全土で危険情報なし。,ローマ内にある宗教・文化の中心。世界最小国家で美術・建築が見どころ。,/images/region/009.jpg
10,2,フィレンツェ,55,約14～15時間（乗継）,約-7時間（夏）約-8時間（標準）,内陸で寒暖差大きい,特になし。全土で危険情報なし。,ルネサンス発祥の地。美術館・ドゥオーモ・トスカーナ料理が魅力。,/images/region/010.jpg
11,2,ベネチア,55,約14～15時間（乗継）,約-7時間（夏）約-8時間（標準）,冬霧多く、夏は蒸し暑い,特になし。全土で危険情報なし。,水の都。運河と橋が街の構造。ロマンチックな街歩きに最適。,/images/region/011.jpg
12,2,ミラノ,50,約12～13時間,約-7時間（夏）約-8時間（標準）,冬寒く霧、夏蒸し暑い,特になし。全土で危険情報なし。,ファッション・デザインの都市。歴史建築と近代都市が融合。,/images/region/012.jpg
13,2,ナポリ,55,約14～15時間（乗継）,約-7時間（夏）約-8時間（標準）,冬も比較的温暖,特になし。全土で危険情報なし。,地中海沿岸の活気ある都市。ナポリピッツァ発祥の地としても有名。,/images/region/013.jpg
14,2,カプリ島,55,約15時間（ナポリ経由＋船40分）,約-7時間（夏）約-8時間（標準）,年中過ごしやすい,特になし。全土で危険情報なし。,ナポリ湾に浮かぶリゾート島。青の洞窟など自然美が魅力。,/images/region/014.jpg
15,2,アマルフィ海岸,55,約15時間（ナポリ経由＋車2時間）,約-7時間（夏）約-8時間（標準）,温暖で湿度やや高い,特になし。全土で危険情報なし。,絶景沿岸ドライブが人気。地中海の海と断崖絶壁の景観。,/images/region/015.jpg
16,2,シチリア島,60,約15～16時間（乗継）,約-7時間（夏）約-8時間（標準）,日差し強く乾燥,特になし。全土で危険情報なし。,地中海最大の島。古代遺跡・ビーチ・火山（エトナ）など変化に富む。,/images/region/016.jpg
17,2,チンクエテッレ,55,約15時間（ローマ or ミラノ経由＋列車）,約-7時間（夏）約-8時間（標準）,海風涼しく穏やか,特になし。全土で危険情報なし。,イタリア北西海岸の小さな漁村群。カラフルな街並みとハイキングが人気。,/images/region/017.jpg
18,3,パリ,50,約12～13時間,約-7時間～-8時間,四季あり、冬寒く夏快適,特になし。全土で危険情報なし。,芸術・建築・グルメの都。ルーブル美術館・エッフェル塔など定番観光地。,/images/region/018.jpg
19,3,モンサンミッシェル島,55,約14時間（パリ経由＋車・列車4時間）,約-7時間～-8時間,年間通じて湿潤,特になし。全土で危険情報なし。,海に浮かぶ修道院の島。潮の満ち引きが作る景観が独特。,/images/region/019.jpg
20,3,ニース,55,約14時間（乗継）,約-7時間～-8時間,温暖で晴天多い,特になし。全土で危険情報なし。,フランス南部コート・ダジュールのリゾート都市。地中海の雰囲気満点。,/images/region/020.jpg
21,3,リヨン,55,約14時間（乗継）,約-7時間～-8時間,寒暖差大きい,特になし。全土で危険情報なし。,フランス内陸部。ガストロノミー（美食）と歴史的街並みが魅力。,/images/region/021.jpg
22,3,ロワール地方,55,約14時間（パリ経由＋列車・車）,約-7時間～-8時間,春と秋に雨多め,特になし。全土で危険情報なし。,フランスの城巡り（シャトー群）と田園風景が楽しめる地域。,/images/region/022.jpg
23,4,ハノイ,25,約5時間30分～6時間,約-2時間,冬乾燥・夏多湿,特になし。全土で危険情報なし。,ベトナム北部の首都。旧市街・淡水湖・歴史的建築が残る街。,/images/region/023.jpg
24,4,ダナン,25,約5～6時間,約-2時間,雨季9〜12月,特になし。全土で危険情報なし。,ベトナム中部の海沿い都市。リゾートと都市観光の両立地。,/images/region/024.jpg
25,4,ホイアン,25,約6時間（ダナン空港から車1時間）,約-2時間,雨季長く高湿,特になし。全土で危険情報なし。,歴史保存地区を持つベトナム中部の古都。夜のランタンが名物。,/images/region/025.jpg
26,4,ホーチミン,25,約6～7時間,約-2時間,年中高温多湿,特になし。全土で危険情報なし。,ベトナム南部最大都市。活気ある街と植民地時代建築が魅力。,/images/region/026.jpg
27,5,ユングフラウ地方,60,約14～15時間（チューリッヒ経由＋列車）,約-7時間～-8時間,夏も涼しく、冬雪深い,特になし。全土で危険情報なし。,スイス・アルプスの名所。山岳景観・鉄道・氷河があるハイキング天国。,/images/region/027.jpg
28,5,チューリッヒ,60,約12～13時間,約-7時間～-8時間,冬寒く夏爽やか,特になし。全土で危険情報なし。,スイス最大都市。都市機能・金融街と自然のバランスがいい。,/images/region/028.jpg
29,5,ルツェルン,60,約13～14時間（チューリッヒ経由）,約-7時間～-8時間,湿度高く雨多め,特になし。全土で危険情報なし。,湖と山が近接したスイスの観光都市。古い橋や木造建築が残る。,/images/region/029.jpg
30,5,ツェルマット,60,約15時間（チューリッヒ経由＋列車）,約-7時間～-8時間,冬長く雪多い,特になし。全土で危険情報なし。,マッターホルン山麓のリゾート村。車が乗り入れない静かな環境。,/images/region/030.jpg
31,6,シドニー,50,約9～10時間,約+1時間～2時間,年中温暖,特になし。全土で危険情報なし。,オーストラリア最大都市。オペラハウス・港・海岸と都市観光が充実。,/images/region/031.jpg
32,6,ウルル,50,約12～13時間（シドニー経由）,約+0.5時間～1.5時間,昼夜の寒暖差大,特になし。全土で危険情報なし。,赤い岩山が象徴の豪州内陸部。先住民文化と乾燥地帯の景観。,/images/region/032.jpg
33,6,ケアンズ,50,約7～8時間,約+1時間～2時間,雨季11〜4月,特になし。全土で危険情報なし。,オーストラリア北部。グレートバリアリーフへのアクセス基地として人気。,/images/region/033.jpg
34,6,メルボルン,50,約10時間,約+1時間～2時間,変化が激しい,特になし。全土で危険情報なし。,オーストラリア文化都市。カフェ文化・芸術・スポーツが盛ん。,/images/region/034.jpg
